tournamentName,tournamentDate,gameNumber,blackPlayerName,blackPlayerRank,whitePlayerName,whitePlayerRank,result,resultDetail,transcript,comment
Australian National,2022/1/1,1,Hughes Scott,,Vinar Matt,,A,,f5f6e6f4e3d6g4d3c3h3c4g3g5g6e7d7h5f3h4h6c6f7c7c5c8d8b5c2d2e2f1f2e8f8g8b3c1b6a4a3b4a5e1d1g7h8h7b8a7a6a2b2a1b1g2g1b7a8h1h2,
Championnat Nordique,2022/1/1,1,Wettergren Niklas,,Freiburghaus Kim,,A,,f5d6c3d3c4b5b4f4c5b3e2c6b6e6a4a3a5d2e3g4g3g5f2f6c1d1h4f1h5g6f3h6a2a7b7c7d7e7f8d8h7g7c8a6a8e8f7h8g8b8b2c2e1a1b1h3g2h2g1h1,
Championnat Nordique,2022/1/1,2,Freiburghaus Kim,,Wettergren Niklas,,A,,f5f6e6f4g5e7e3f3d3h6g3c6g4h3d6c5g6h2f7c4c3h7d8f8b4a4d7e8c8b8g7e2c2f2d2b3e1f1b6d1c1a7a2a3a5b5c7b1a6a1b2h8g8b7a8h4h5g1h1g2,
Championnat Nordique,2022/1/1,3,Wettergren Niklas,,Freiburghaus Kim,,A,,f5d6c3d3c4b5e3c2b3d2c5c6b4a4e2a3d1e6a5a6c1f4g4b2b6c7e7d7a1f8a2b1d8f7e8c8a7f6b7g6f3h3h4h5g5f1e1f2h7a8b8h6h2g3g7h8g8h1g2g1,
Championnat Nordique,2022/1/1,4,Ragnarsson Robin,,Rignell Daniel,,A,,f5d6c5f4e3c6d3f6e6d7e7c7c4f3d8c8b8e2b6a6f7e8f8c2g6b5b3c3a5a3d2a4f1h6b4d1g5h5h4h3g4g3c1b1g2h1e1g1f2a7b2g8h8b7a8a2a1g7h7h2,
Championnat Nordique,2022/1/1,5,Wettergren Niklas,,Ragnarsson Robin,,A,,f5d6c3d3c4f4f6g5e6c5b6d7e7b4d2e2e3c6b5c7b3f3g6g4h5f8f7h4d8c1e8c8g7a4a3a6a5a2h3h8g8c2f1d1b2h7a7a1b7a8f2g1h1b8g2h2h6g3e1b1,
Championnat Nordique,2022/1/1,6,Ragnarsson Robin,,Wettergren Niklas,,A,,f5f6e6f4e3c5g5g3g6f3d3e2c4c3c2d2g4d6c7h4e1f1g1f2d1c6b5b4h5d7a3b1b6h6h2h7c8a4a5b3a2a7g7h8e7b7g8f8d8a6a8f7g2b8b2e8h3h1c1a1,
Championnat Nordique,2022/1/1,7,Rignell Daniel,,Freiburghaus Kim,,A,,f5d6c5f4e3c6d3c3c4f6e6d7g3b5b3d2e2b4c1g4a6c2b6a3a4d1e1f1f2b1e8f3g2c8c7g5d8f8h4b2h5g6a1a2g1h6h7h3g7b8e7f7h2h1b7a8a7a5h8g8,
Championnat Nordique,2022/1/1,8,Freiburghaus Kim,,Rignell Daniel,,A,,f5d6c5f4e3c6f3c3d3c4e6d2c1e1b5f7b4f6e2b3d1b1c2g6d7d8c7f1e8f8e7g5g4a4c8b6g8a3b8f2g3h5g2h1h3b2g1h2h4h6a1a2a5a7a6b7a8g7h8h7,
Copa (Brasil),2022/1/1,1,Briante Pires Marco,,Jose Silva Gabriel,,A,,f5f4e3f6e6c5c4d6c6c3d3f3d2d1e2f2c2b1c1b6a1b4e1b2d7e7a2c7f1a5a4a3b3b5g1g4g3h3h4h5h2h1g5h6g6a6g7h7g2h8f8f7g8e8d8,
Copa (Brasil),2022/1/1,2,Fuzo Isaac,,Haddad Michel,,A,,f5f6c4g5g7e7h5h8d8c3d3f4g4f3b3h6e2e3e6g3h4h3g2b4b5h2c5h1g1f2f1d2d1e1g6h7g8f8f7e8d7c8c1d6c6a6a4c2b1a1b2a2a3a5b6c7b7b8a8a7,
Copa (Brasil),2022/1/1,3,Dairokuno Mitsuru,,Nascimento Cunha Da,,A,,f5f4e3d6f3e2d1g5d3e1f1d2e6f2h5e7c1f6g1h4h3c2g3g2g4h2h1h6g6e8d7b1c3h7d8c8f7f8g7b3b2c7b7h8g8a1b8a8c4a7c6c5b4a4a2a3b6a6a5b5,
Copa (Brasil),2022/1/1,4,Haddad Michel,,Caroline Silva Evel,,A,,f5d6c4f3f4f6c5c6e6c3e3d3e2d1d2c2b3b5a5a3c7f7e7b6d7f2a6f8e8d8c8b8e1f1b4a4a2b7a7b2a1b1c1a8g1g2h1g4g8g7h4g3h2h3h8g5h5g6h7h6,
Copa (Brasil),2022/1/1,5,Quezia Costa Ruama,,Dairokuno Mitsuru,,A,,f5d6c4d3e2b4d7f4f3d2a4b5d1f1c2e6a6e3f6c5c6c3e1c1b3a5a3f2g1h1b1a1b2a2g2a7b6g3h3d8c8h2e8h4g4h5c7g5g6h6f7e7b7a8g7b8h7h8g8f8,
Copa (Brasil),2022/1/1,6,Dairokuno Mitsuru,,Paie Correia Lucas,,A,,f5f6e6f4e3d3f3d7e7d8c4d6c3b3a3f2e2d1f1c2c5b4g1a4a5d2b5b6a6e1c1b2c7b8c6b7b1g2a7e8f8a8c8g8h1g3h2h3h4g4h5g5g6h6f7a1h7a2g7h8,
Copa (Brasil),2022/1/1,7,Ferreira Santos Edu,,Dairokuno Mitsuru,,A,,f5d6c5f4d7g5d3c4f3e3f6c3d2c2b4d1h5e2e1f1f2b3e6a5a3b5b6a6b1c6a4a2b7a7b2e7f7a1c7c1g1a8b8c8d8e8f8g8g7h8h7h6g4h4g3g6h2h3g2h1,
Copa (Brasil),2022/1/1,8,Kitada Paulo Cesar,,Ferreira Santos Edu,,A,,f5d6c4f4f3e3f6d3e6e7f7c5e8c3e2g4g5g3d2h5f2d1e1f1h6h7h3g8g6f8h8h4d7c7c6b6g7c8a6b5d8b7b8h2h1g1g2c2b3a3b4c1b2a1b1a2a4a5a7a8,
